l1 entry price,l2 entry price,total investment,time,,l1,,,,,l2,,,,,total close,,overall,target hitt,stoploss hitt,individual,l1 tgt,l1 st,l2 tgt,l2st
4.55,273.65,278.2,10:00:00,,4.55,4.65,4.5,4.6,,273.65,273.65,268.7,271.85,,276.45,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,10:01:00,,4.6,4.6,3.95,4,,271.85,278.7,271.85,278.7,,282.7,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
overall target,,total target,10:02:00,,4,4.65,3.8,4.65,,278.7,281.5,265.75,265.75,,270.4,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
50,,328.2,10:03:00,,4.7,5.05,4.3,4.5,,263.25,265.65,257,265.65,,270.25,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:04:00,,4.45,4.8,4.45,4.75,,265.65,266.8,264,264,,270.5,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
overall stoploss,,total stoploss,10:05:00,,4.8,4.9,4.6,4.65,,264,264,263.95,263.95,,270.4,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
25,,253.2,10:06:00,,4.7,5,4.6,4.65,,263.95,265.55,259.35,264.9,,270.4,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:07:00,,4.7,5.45,4.5,5.4,,264.9,266.85,255.4,255.95,,271.15,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:08:00,,5.5,6.35,5.4,5.4,,256.05,256.05,249.8,254.65,,271.15,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
l1 indi tgt,l2 inidi tgt,,10:09:00,,5.45,5.6,4.6,4.75,,254.65,262.1,252.5,261.65,,270.5,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
5,10,,10:10:00,,4.75,4.85,4.2,4.7,,261.65,272,258.95,262.35,,270.45,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
l1 inidi sl,l2 inidi sl,,10:11:00,,4.75,5.2,4.7,4.9,,262.35,262.9,254.85,257.7,,270.65,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
2,5,,10:12:00,,4.95,5.25,4.7,5.1,,257.7,263.2,256.05,256.05,,270.85,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
tot l1 indi tgt,tot l1 inidi sl,,10:13:00,,5.2,5.45,5.05,5.25,,256.4,257.95,253,255.2,,271,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
9.55,2.55,,10:14:00,,5.2,5.35,4.9,5,,255.2,261.15,253.8,259.1,,270.75,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
tot l2 inidi tgt,tot l2 inidi sl,,10:15:00,,5,5,4.75,4.8,,259.1,261,259.1,262.65,,270.55,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
283.65,268.65,,10:16:00,,4.7,4.95,4.55,4.55,,263.3,265.1,261.4,265.1,,270.3,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:17:00,,4.6,4.95,4.5,4.9,,264.7,266.2,259.85,259.85,,270.65,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:18:00,,4.85,4.85,4.55,4.7,,259.85,264.95,259.85,262,,270.45,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:19:00,,4.7,4.85,4.45,4.5,,262,266.15,260.45,265.3,,270.25,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:20:00,,4.65,4.9,4.55,4.9,,264.15,264.15,257.6,257.6,,270.65,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:21:00,,4.9,5.4,4.8,5.4,,257.6,257.6,249.35,249.35,,271.15,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:22:00,,5.4,5.6,5.15,5.25,,249.35,249.75,244.9,249.7,,271,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:23:00,,5.25,5.4,5,5.2,,250.35,254.85,250.05,251.2,,270.95,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:24:00,,5.2,5.4,4.95,5.1,,251.2,256.45,251.2,255.2,,270.85,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
